Year,SignificantQuantities,ThouSQ,SGBudgJan2023USD,MillSgBud,ReprocessingPlants,EnrichmentPlants,ENR,TotalFacilities,PDI,ThouPDI,AP,IS,RDTstate,RDTdatastreams,Xtrab.USD2023,MillXtrabud
1970,447,0.447,9262994.75,9.26299475,0,0,0,82,0,0,0,0,0,0,,
1971,719,0.719,13721057.18,13.72105718,0,0,0,85,0,0,0,0,0,0,,
1972,908,0.908,17196995.53,17.19699553,0,0,0,149,0,0,0,0,0,0,,
1973,1477,1.477,16823455.84,16.82345584,0,0,0,154,0,0,0,0,0,0,,
1974,1859,1.859,19835143.93,19.83514393,0,0,0,172,0,0,0,0,0,0,,
1975,2433,2.433,26745436.84,26.74543684,0,0,0,175,0,0,0,0,0,0,,
1976,3458,3.458,33119455.5,33.1194555,3,0,3,229,0,0,0,0,0,0,,
1977,6364,6.364,38304358.62,38.30435862,5,3,8,369,0,0,0,0,0,0,,
1978,11263,11.263,48127924.2,48.1279242,5,3,8,373,0,0,0,0,0,0,,
1979,14116,14.116,61054863.2,61.0548632,5,4,9,393,0,0,0,0,0,0,,
1980,17045,17.045,67238717.5,67.2387175,7,4,11,416,5061,5.061,0,0,0,0,,
1981,16963,16.963,79576037.3,79.5760373,6,4,10,422,6307,6.307,0,0,0,0,,
1982,18578,18.578,89413820.7,89.4138207,6,4,10,440,6276,6.276,0,0,0,0,,
1983,20800,20.8,94654573.7,94.6545737,6,4,10,455,6727,6.727,0,0,0,0,,
1984,23100,23.1,95964530.8,95.9645308,6,4,10,460,6599,6.599,0,0,0,0,,
1985,26700,26.7,99508923.6,99.5089236,6,5,11,474,7750,7.75,0,0,0,0,,
1986,31710,31.71,90268117.4,90.2681174,6,6,12,485,8292,8.292,0,0,0,0,7223104.8,7.2231048
1987,34807,34.807,89082145.1,89.0821451,6,6,12,496,9566,9.566,0,0,0,0,3947179.57,3.94717957
1988,47236,47.236,111065310.8,111.0653108,6,7,13,511,9379,9.379,0,0,0,0,10016240.04,10.01624004
1989,52413,52.413,124514981,124.514981,5,7,12,515,10132,10.132,0,0,0,0,11861033.15,11.86103315
1990,57232,57.232,121163850,121.16385,5,7,12,515,10381,10.381,0,0,0,0,13452615.83,13.45261583
1991,61591,61.591,132397368.9,132.3973689,5,7,12,523,9442,9.442,0,0,0,0,13645939.41,13.64593941
1992,65949,65.949,143082954.3,143.0829543,6,7,13,545,8385,8.385,0,0,0,0,14189888.73,14.18988873
1993,73012,73.012,134183285.2,134.1832852,6,8,14,552,8153,8.153,0,0,0,0,18216759.21,18.21675921
1994,79179,79.179,149507059.9,149.5070599,6,11,17,568,9152,9.152,0,0,0,0,14006380.22,14.00638022
1995,90291,90.291,141149770.3,141.1497703,6,11,17,607,10167,10.167,0,0,0,0,25122517,25.122517
1996,94294,94.294,140955096.2,140.9550962,6,11,17,619,10831,10.831,0,0,0,0,28260250,28.26025
1997,100276,100.276,146062843.6,146.0628436,6,13,19,632,10240,10.24,0,0,0,0,23100960,23.10096
1998,103883,103.883,144432120.7,144.4321207,6,14,20,636,10060,10.06,5,0,0,0,28959570,28.95957
1999,106598,106.598,143651372.8,143.6513728,6,14,20,650,10190,10.19,8,0,1,10,24790460,24.79046
2000,111554,111.554,140245394,140.245394,6,13,19,649,10264,10.264,18,0,3,21,18376550,18.37655
2001,117162,117.162,140498155.7,140.4981557,6,12,18,645,10314,10.314,24,1,7,30,25922370,25.92237
2002,123344,123.344,145377766.8,145.3777668,6,12,18,650,10084,10.084,28,1,6,39,33236420,33.23642
2003,129318,129.318,146439088.7,146.4390887,6,13,19,657,9260,9.26,38,3,8,44,24878690,24.87869
2004,133922,133.922,160790905,160.790905,7,13,20,657,15609,15.609,62,6,11,86,26321140,26.32114
2005,140204,140.204,165370474,165.370474,7,15,22,659,15600,15.6,71,9,15,84,22791510,22.79151
2006,146980,146.98,157643910,157.64391,8,14,22,659,15980,15.98,78,9,14,130,15397520,15.39752
2007,151749,151.749,157933261,157.933261,8,15,23,648,15220,15.22,86,20,16,146,24605670,24.60567
2008,158670,158.67,161764379,161.764379,8,16,24,686,14121.5,14.1215,88,25,18,168,22164210,22.16421
2009,165418.57,165.41857,162297186,162.297186,8,16,24,654,14048,14.048,94,36,18,193,24921980,24.92198
2010,172180.291,172.180291,165900472,165.900472,8,16,24,662,13558.5,13.5585,104,47,19,258,36227010,36.22701
2011,177473,177.473,163250029,163.250029,8,16,24,666,11937,11.937,114,49,21,271,23848230,23.84823
2012,183767,183.767,167800934,167.800934,8,16,24,687,11859,11.859,119,51,22,288,42800980,42.80098
2013,188500,188.5,167691249,167.691249,8,17,25,692,11777,11.777,122,53,23,279,25308890,25.30889
2014,193467,193.467,166941707,166.941707,8,17,25,703,12734,12.734,124,53,23,549,37776740,37.77674
2015,200110,200.11,167644104,167.644104,8,18,26,718,13248,13.248,127,54,24,820,40767570,40.76757
2016,204073,204.073,167318572,167.318572,8,18,26,737,13275,13.275,129,57,25,887,41100580,41.10058
2017,208889,208.889,169038623,169.038623,8,19,27,749,13744,13.744,132,65,29,932,34773540,34.77354
2018,212804,212.804,169048025,169.048025,8,19,27,767,13615,13.615,134,67,29,1102,27440640,27.44064
2019,216448,216.448,169155026,169.155026,8,19,27,775,13139.5,13.1395,137,67,30,1708,27301970,27.30197
2020,221432,221.432,170801659,170.801659,8,19,27,814,12766.5,12.7665,137,66,31,1611,34471040,34.47104
2021,226116,226.116,162126657,162.126657,8,19,27,820,14648.5,14.6485,138,69,32,1640,29768090,29.76809
